UPE | Comparer les produits Intel®
2022/12/04 10:03:38
,Processeur Intel® Core™ i5-3470S (6 Mo de cache- jusqu'à 3-60 GHz)

Infos essentielles
Collection de produits,Processeurs Intel® Core™ de génération précédente
Nom du code,Produits anciennement  Ivy Bridge
Segment vertical,Desktop
N° du processeur,i5-3470S
état,Discontinued
Date de lancement,Q2'12
Lithographie,22 nm

Spécifications du processeur
Nb. de cœurs,4
Nb. de threads,4
Fréquence Turbo maxi,3.60 GHz
Fréquence de la technologie Intel® Turbo Boost 2.0‡,3.60 GHz
Fréquence de base,2.90 GHz
Cache,6 MB Intel® Smart Cache
Vitesse du bus,5 GT/s
PDT,65 W

Infos supplémentaires
Options embarquées disponibles,Non
Fiche technique,Découvrez-la dès maintenant

Spécifications de la mémoire
Capacité mémoire maxi (dépend du type de mémoire),32 GB
Types de mémoire,DDR3 1333/1600
Nb. max. de canaux mémoire,2
Bande passante mémoire maxi,25.6 GB/s
Mémoire ECC prise en charge ‡,Non

Processeur graphique
Graphiques de processeur ‡,Cœur graphique Intel® HD 2500
Fréquence graphique de base,650 MHz
Fréquence graphique dynamique maxi,1.10 GHz
Technologie Intel® Quick Sync Video,Oui
Technologie Intel InTru 3D,Oui
Interface Intel® FDI (Flexible Display Interface),Oui
Technologie Intel® Clear Video HD,Oui
Nbre d'écrans pris en charge ‡,3
ID de périphérique,0x152

Options d'extension
Révision PCI Express,3.0
Configurations PCI Express ‡,up to 1x16 |  2x8 |  1x8 & 2x4

Spécifications du package
Sockets gérés,FCLGA1155
Configuration processeur(s) maxi,1
Spécifications de la solution thermique,2011C
TCASE,69.1
Taille du conditionnement,37.5mm x 37.5mm

Technologies avancées
Technologie Intel® Turbo Boost ‡,2.0
Technologie Intel® Hyper-Threading ‡,Non
Intel® Transactional Synchronization Extensions – New Instructions,Non
Intel® 64 ‡,Oui
Jeux d'instructions,64-bit
Extensions au jeu d'instructions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX
états d'inactivité,Oui
Technologie Intel SpeedStep® améliorée,Oui
Technologies de surveillance thermique,Oui
Technologie Intel® de protection de l'identité ‡,Oui

Sécurité et fiabilité
Éligibilité d'Intel vPro® ‡,Intel vPro® Platform
Nouvelles instructions Intel® AES,Oui
Secure Key,Oui
Technologie Intel® Trusted Execution Technology ‡,Oui
Bit de verrouillage ‡,Oui
Technologie antivol,Oui
Technologie de virtualisation Intel® (VT-x) ‡,Oui
Technologie de virtualisation Intel® pour les E/S réparties (VT-d) ‡,Oui
Technologie de virtualisation Intel® VT-x avec tables de pagination (Extended Page Tables) ‡,Oui
